0,2
0,8
0,10
0,13
0,20
0,27
0,28
1,14
1,17
1,19
2,0
2,13
3,8
3,9
3,10
3,14
3,20
3,26
4,19
4,21
4,26
4,29
5,7
5,10
5,25
6,8
6,13
6,17
6,24
7,5
7,9
7,23
8,0
8,3
8,6
8,12
8,29
9,3
9,7
9,15
9,20
10,0
10,3
10,5
10,18
10,22
11,17
11,22
11,23
11,24
12,8
12,18
12,21
12,28
12,29
13,0
13,2
13,6
13,19
13,20
13,28
14,1
14,3
14,24
15,9
15,19
15,28
16,26
17,1
17,6
17,11
17,19
17,29
18,10
18,12
18,25
19,1
19,4
19,13
19,15
19,17
19,26
20,0
20,3
20,9
20,13
20,25
21,4
21,12
21,29
22,10
22,11
23,7
23,11
23,25
23,29
24,6
24,11
24,14
25,5
25,18
25,20
25,23
25,28
26,3
26,4
26,16
26,19
26,28
27,0
28,0
28,12
28,13
28,15
28,25
28,26
29,4
29,8
29,12
29,17
29,21
29,23
